link,level,name
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/This is a family.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/2 This is a young couple.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/3 This is a little boy.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/4 This is a young girl.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/5 Bob is a businessman.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/6_Jacob_and_Matt_are_studying.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/7 Tom has_a_question.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/8_Nadine_is_a_good_swimmer.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/9_Jim_and_Darryl_work_together.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/10_a_dental_appointment.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/11_Mark_is_babysitting.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/12_Tigist_needs_a_new_place.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/13_Christmas.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/14_Ming_is_talking_on_her_cellphone.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/15_The_weather_today_is__very_cold.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/16_Brian_went_to_the_doctor.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/17_Leonardo_and_Rachels_cats.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/18_Our_neighbor_just_had_a_baby.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/19_Tony_surfs_all_summer_long.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/20_Patricia_and_Graciela_returning_to_school.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/21_Sharon_and_Bill_went_out_for_dinner.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/22_Mr_Jefferson_is_a_math_teacher.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/23_Diana_works_as_a_nurse.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/24_It_snowed_last_night.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/25_The_Winter_Olympic_Games.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/26_baseball_season.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/27_My_son_bought_a_goldfish.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/28_Kimberly_has_a_pet_rabbit.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/29_It_rained_all_day.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/30_Its_the_end_of_the_school_year.html,A1,learnamericanenglishonline
https://www.learnamericanenglishonline.com/Reading/Blue_Level_Reading/31_Oscar_took_his_dog_for_a_walk.html,A1,learnamericanenglishonline
