link,level,name
https://lingua.com/english/reading/my-day/,A1,lingua
https://lingua.com/english/reading/wonderful-family/,A1,lingua
https://lingua.com/english/reading/john/,A1,lingua
https://lingua.com/english/reading/house/,A1,lingua
https://lingua.com/english/reading/vacation/,A1,lingua
https://lingua.com/english/reading/preparing-food/,A1,lingua
https://lingua.com/english/reading/days/,A2,lingua
https://lingua.com/english/reading/numbers/,A2,lingua
https://lingua.com/english/reading/my-family/,A2,lingua
https://lingua.com/english/reading/at-school/,A2,lingua
https://lingua.com/english/reading/city/,A2,lingua
https://lingua.com/english/reading/doctor/,A2,lingua
https://lingua.com/english/reading/supermarket/,A2,lingua
https://lingua.com/english/reading/summer-vacation/,A2,lingua
https://lingua.com/english/reading/pets/,A2,lingua
https://lingua.com/english/reading/letter-to-a-friend/,A2,lingua
https://lingua.com/english/reading/going-to-restaurant/,A2,lingua
https://lingua.com/english/reading/morning-routine/,A2,lingua
https://lingua.com/english/reading/statue-of-liberty/,B1,lingua
https://lingua.com/english/reading/valentines-day/,B1,lingua
https://lingua.com/english/reading/golden-gate-bridge/,B1,lingua
https://lingua.com/english/reading/london/,B1,lingua
https://lingua.com/english/reading/san-francisco/,B1,lingua
https://lingua.com/english/reading/empire-state-building/,B1,lingua
https://lingua.com/english/reading/hotel-reservation/,B1,lingua
https://lingua.com/english/reading/washington/,B1,lingua
https://lingua.com/english/reading/miami/,B1,lingua
https://lingua.com/english/reading/going-to-work/,B1,lingua
https://lingua.com/english/reading/christmas/,B1,lingua
https://lingua.com/english/reading/jobs/,B1,lingua
https://lingua.com/english/reading/chicago/,B1,lingua
https://lingua.com/english/reading/seasons/,B1,lingua
https://lingua.com/english/reading/thanksgiving/,B1,lingua
https://lingua.com/english/reading/food/,B1,lingua
https://lingua.com/english/reading/yellowstone-national-park/,B1,lingua
https://lingua.com/english/reading/grand-canyon/,B1,lingua
https://lingua.com/english/reading/los-angeles/,B1,lingua
https://lingua.com/english/reading/halloween/,B1,lingua
https://lingua.com/english/reading/las-vegas/,B2,lingua
https://lingua.com/english/reading/body-parts/,B2,lingua
